address start,address end,type,notes
000000,000F77,????,????
000F78,000F83,Data,"Lookup Table (LUT) used for Gil multiplier for treasures (6 * 2 bytes). The default values are 1, 10, 100, 1000, 10000 & 34464 (bug)"
000F84,002A96,????,????
002A97,002F95,Data,Map Sprite Frame
002F96,005BB7,????,????
005BB8,005BF4,Data,Map Color Math Properties
005BF5,008540,????,????
008541,00858E,Data,(Japanese Script) Dictionary entries sizes (78)
00858F,0087F6,Data,(Japanese Script) Dictionary Lo bytes (78 * 8 bytes)
0087F7,008A66,Data,(Japanese Script) Dictionary Hi bytes (78 * 8 bytes) (0 = Normal ; 1 = 1E Kanji ; 2 = 1F Kanji)
008A67,009D9A,????,????
009D9B,00A18B,Data,Map Animation Properties
00A18C,00CB08,????,????
00CB09,00CB10,Data,Dungeon danger table for random battle encounters (2*4)
00CB11,00CB2B,????,????
00CB2C,00CC20,ASM,Monster party selection process ( common1 < 90 / common2 < 180 / uncommon < 240 / rare < 256)
00CC21,00CC49,????,????
00CC4A,00CC51,Data,Wold danger table for random battle encounters (2*4)
00CC52,00D37F,ASM,"Process to determine random monster battles, and more (???)"
00D380,00D97F,Data,"Field message symbols: Windows, 8x16 numbers, Finger icon, 16x16 Yes, No; 4bpp 8x8"
00D980,00DEFF,????,????
00DF00,00E7FF,Data,Shape masks 1bpp 8x8
00E800,00F40F,????,????
00F410,00F459,Text,Main character naming screen
00F45A,00F986,????,????
00F987,00FA9D,Data,Menu texts offsets (at 172F00 in RPGe) (2bytes * 139)
00FAC0,00FEBF,Text,(Japanese) Menu texts (139 variable sized texts)
00FEC0,00FFBF,Data,Lookup Table (LUT) used in RNG stuff
00FFC0,00FFFF,Data,SNES Header
010000,01001E,ASM,Entry function for C1 Bank (jumps to one of fifteen general C1 functions)
010020,01003E,Data,C1 function lookup table (15 locations; see entry fxn)
010040,01754C,????,????
01754D,017575,ASM,Enemy death palette fade animation (lighter pink) (from 0176D1)
017576,0175AB,ASM,Enemy death palette fade animation step (from 01755E)
0175AC,017623,ASM,????
017624,01763C,ASM,Set enemy palette to pink on death (from 0176CE)
01763D,01765D,ASM,Find enemies that are still alive (from 0176D4)
01765E,0176FD,ASM,????
0176FE,01772B,ASM,Prepare enemies for dissolve animation (from 0176EE)
01772C,017789,ASM,Enemy dissolve animation (from 017725)
01778A,01781C,ASM,Partial dissolve step (from 01775C)
01781D,017863,ASM,"Add pixels during ""dissolve in"" animation (from 0177FB, called twice)"
017864,0178AA,ASM,"Remove pixels during ""dissolve out"" animation (from 0177F3, called twice)"
0178AB,018B68,????,????
018B69,018B7C,ASM,"Battle Command Animation (11 branches, see below)"
018B7D,018B92,Data,LUT for command animations (11 entries)
018B93,018BA8,????,????
018BA9,018BA9,ASM,"No Animation (from 018B7A, X = 8)"
018BAA,018BCF,ASM,"Item Animation Function (from 018B7A, X = 9)"
018BD0,018BE3,????,????
018BE4,018C34,ASM,"Banner Display Function (from 018B7A, X = 4)"
018C35,018C36,????,????
018C37,018C6C,ASM,"Battle Message Display Function (ie, Steal/Mug, etc) (from 018B7A, X = 5)"
018C6D,018CF0,????,????
018CF1,018D13,ASM,"Animals Animation Function (from 018B7A, X = 2 or X = 3)"
018D14,018D5E,????,????
018D5F,018D73,ASM,"Ability Animation Function (from 018B7A, X = 1)"
018D74,018D87,????,????
018D88,018E19,Data,"LUT for ability animation (based on ability number, 73 entries)"
018E1A,0196EB,????,????
0196EC,019708,ASM,Run Character Animation (from numerous places)
019709,01B31B,????,????
01B31C,01B38B,Data,"Spell Animation Shape Table (2 bytes * 63 entries; width, height in tiles)"
01B38C,01B676,????,????
01B677,01B69B,ASM,"Spell Animation Function (from 018B7A, X = 0)"
01B69C,01B73F,ASM,Run Spell Animation (from numerous places)
01B740,01FD1C,????,????
01FD1D,01FD21,ASM,Wait for NMI
01FD22,01FF2D,????,????
01FF2E,01FF87,Data,[P] Hexadecimal to Decimal converter (4 digits)
01FF88,01FFFF,????,????
0216FA,024A93,ASM,"Display Message, plus ???"
024A94,024AE9,Data,Pointers for Command adjustments (2 byte * ??? )
024AEA,0256D3,???,?
0256D4,0256EB,ASM,Monster item drop routine?
0256EC,0262BA,???,?
0262BB,02714F,ASM,Time-Quick Bug routine? plus ???
027150,0271B8,ASM,Can steal from enemy routine?
0271B9,029207,???,?
029208,0292A4,ASM,Item to steal from enemy routine?
0292A5,029409,???,?
02940A,029426,ASM,9999 Max damage delimiter?
029427,02F587,???,?
02F588,02FFFF,ASM,"16-Bit SRAM Checksum with carry, plus ???"
030000,030052,ASM,???? ASM ????
030053,03016D,ASM,Decompression subroutine
